chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1602515104,2020-10-12T15:05:04Z,9A1AYZ-11,9A1AYZ-11,32(14/5),0,!,9A1AYZ-11,/I,45.742000,15.605167,,,,,,,SQ3PLX http://microsat.com.pl/,,,iGate&W1 JAPETIC   RK Dubrava  https://www.croatia-digital-group.com
0,1602515109,2020-10-12T15:05:09Z,9A1AYZ-11,9A1AYZ-11,32(14/5),0,>,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,http://crlnet.it - CRLNet.103 WX3IN1 Plus 2.0 v1.13 / 3.7C / 14.0V
0,1602515680,2020-10-12T15:14:40Z,S54F-9,9A7KXP-4?,27(12/5),1,`,S54F-9,/>,46.241833,15.657333,119.0,325.0,237.0,,,,Unknown manufacturer,En Route,,op.Franc  Qap DMR 293 TS1
0,1602516057,2020-10-12T15:20:57Z,9A3PM-9,9A7KXP-4?,30(12/5),0,`,9A3PM-9,/>,45.798333,16.053333,18.0,254.0,106.0,,,,Unknown manufacturer,Off Duty,,Branko
0,1602516119,2020-10-12T15:21:59Z,9A3PM-9,9A7KXP-4?,27(12/5),1,`,9A3PM-9,/>,45.797667,16.051833,1.0,321.0,105.0,,,,Unknown manufacturer,Off Duty,,Branko
0,1602516592,2020-10-12T15:29:52Z,9A1BTU-1,9A7KXP-4?,25(12/5),1,!,9A1BTU-1,/#,45.302500,17.699500,,,,,,,UIdigi,,,"/(JN85UH, Laze-UIDIGI1.93 5w )1"
0,1602516599,2020-10-12T15:29:59Z,9A1AYZ-11,9A1AYZ-11,34(12/5),0,T,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=214, A1=223, A2=139, A3=0, A4=1, A5=134, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602516840,2020-10-12T15:34:00Z,9A1DD-11,9A7KXP-4?,30(11/5),1,!,9A1DD-11,/#,45.033000,14.671500,,,,,,,UIdigi,,, (APRS KRK UIDIGI1.9B3) 1
0,1602516851,2020-10-12T15:34:11Z,9A1AYZ-11,9A1AYZ-11,30(14/5),0,>,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,http://crlnet.it - CRLNet.103 WX3IN1 Plus 2.0 v1.13 / 3.3C / 14.0V
0,1602516852,2020-10-12T15:34:12Z,9A7KXP-4,9A7KXP-4,27(12/5),1,T,9A7KXP-4,/b,,,,,,,,,Open Track,,"Seq=12, A1=0, A2=124, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602516987,2020-10-12T15:36:27Z,9A0XZD-1,9A7KXP-4?,26(12/5),1,T,9A0XZD-1,/a,,,,,,,,,Open Track,,"Seq=75, A1=132, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602517124,2020-10-12T15:38:44Z,9A3PM-9,9A7KXP-4?,28(11/5),0,`,9A3PM-9,/>,45.798333,16.038000,31.0,258.0,101.0,,,,Unknown manufacturer,Off Duty,,Branko
0,1602517244,2020-10-12T15:40:44Z,S55YBO-2,9A7KXP-4?,29(11/5),1,!,S55YBO-2,/#,46.290167,15.599500,,,,,,,Experimental,,,/APRS DIGI Mt. BOC-980 m ASL (UIDIGI1.8) 3
0,1602517424,2020-10-12T15:43:44Z,9A3PM-9,9A7KXP-4?,28(11/5),1,`,9A3PM-9,/>,45.802833,16.012167,0.0,268.0,127.0,,,,Unknown manufacturer,Off Duty,,Branko
0,1602517593,2020-10-12T15:46:33Z,HG3PMF-1,9A7KXP-4?,29(11/5),1,T,HG3PMF-1,/a,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=170, A1=186, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602518523,2020-10-12T16:02:03Z,9A3PM-9,9A7KXP-4?,28(12/5),1,`,9A3PM-9,/>,45.809833,16.013833,18.0,351.0,117.0,,,,Unknown manufacturer,Off Duty,,Branko
0,1602518586,2020-10-12T16:03:06Z,9A1AYZ-11,9A1AYZ-11,31(14/5),0,!,9A1AYZ-11,/I,45.742000,15.605167,,,,,,,SQ3PLX http://microsat.com.pl/,,,iGate&W1 JAPETIC   RK Dubrava  https://www.croatia-digital-group.com
0,1602518590,2020-10-12T16:03:10Z,9A1AYZ-11,9A1AYZ-11,32(13/5),0,>,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,http://crlnet.it - CRLNet.103 WX3IN1 Plus 2.0 v1.13 / 3.3C / 14.0V
0,1602518836,2020-10-12T16:07:16Z,IN3EBP-9,9A7KXP-4?,34(11/5),1,`,IN3EBP-9,/>,46.816000,11.854667,31.0,209.0,,,,,Unknown manufacturer,En Route,,
0,1602519300,2020-10-12T16:15:00Z,9A1AYZ-11,9A1AYZ-11,28(12/5),0,T,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=224, A1=198, A2=147, A3=0, A4=1, A5=134, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602520216,2020-10-12T16:30:16Z,9A7KXP-1,9A1AYZ-10,32(15/6),0,!,9A7KXP-1,/7,45.899333,15.947333,,,,,,,Open Track,,, 12.3V 26C APRS DIGI VIDIKOVAC-SLJEME asl 1035m  CRLNet.077
0,1602520216,2020-10-12T16:30:16Z,9A7KXP-1,9A1AYZ-10,30(14/6),1,T,9A7KXP-1,/a,,,,,,,,,Open Track,,"Seq=42, A1=496, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602520324,2020-10-12T16:32:04Z,9A1AYZ-11,9A1AYZ-11,41(14/5),0,!,9A1AYZ-11,/I,45.742000,15.605167,,,,,,,SQ3PLX http://microsat.com.pl/,,,iGate&W1 JAPETIC   RK Dubrava  https://www.croatia-digital-group.com
0,1602520329,2020-10-12T16:32:09Z,9A1AYZ-11,9A1AYZ-11,36(13/5),0,>,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,http://crlnet.it - CRLNet.103 WX3IN1 Plus 2.0 v1.13 / 3.0C / 14.0V
0,1602520501,2020-10-12T16:35:01Z,E79VTR-11,9A1AYZ-10,32(15/5),0,!,E79VTR-11,/#,44.292833,17.636500,,,,145.675,,,Open Track,,," 13.1V 22C APRS DIGI i 145.675MHz (-0.6MHz) R3,Radio Klub Elzas"
0,1602520501,2020-10-12T16:35:01Z,E79VTR-11,9A1AYZ-10,34(15/5),0,T,E79VTR-11,/O,,,,,,,,,Open Track,,"Seq=90, A1=528, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602520506,2020-10-12T16:35:06Z,9A7KXP-3,9A1AYZ-10,34(15/5),0,>,9A7KXP-3,/f,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,http://crlnet.it - WX3IN1 Plus 2.0 - v1.13 - 5.4C - 11.8V
0,1602520531,2020-10-12T16:35:31Z,9A1AYZ-10,9A1AYZ-10,32(15/5),0,!,9A1AYZ-10,/#,45.854333,16.050000,,,,,,,>40 APRSmax,,,9A1AYZ Grad Mladih JN85AU
0,1602520582,2020-10-12T16:36:22Z,S59DXX-2,WIDE,34(13/5),1,!,S59DXX-2,/#,46.516833,15.593667,,,,,,,Experimental,,,/APRS DIGI Mt. POHORJE-925 m ASL (1.8) 2
0,1602520740,2020-10-12T16:39:00Z,HG7PDK-2,9A7KXP-4?,29(11/5),1,=,HG7PDK-2,/I,47.720001,18.897597,,,699.8,,,,"DIXPRS - Bela, HA5DI",,,IGate Dobogoko
0,1602520828,2020-10-12T16:40:28Z,9A7KXP-11,9A1AYZ-10,31(15/5),1,!,9A7KXP-11,/1,45.381333,15.014000,,,,,,,Open Track,,, 11.5V 6C Solarni APRS digi Lisina asl 895m CRLNet.074
0,1602520828,2020-10-12T16:40:28Z,9A7KXP-11,9A1AYZ-10,32(14/5),0,T,9A7KXP-11,/O,,,,,,,,,Open Track,,"Seq=18, A1=115, A2=0, A3=115, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602520837,2020-10-12T16:40:37Z,S59GCD-12,RELAY,32(16/5),0,=,S59GCD-12,L#,46.183167,15.208167,,,,,,,DIGI_NED,,,DIGI_NED: Malic
0,1602520980,2020-10-12T16:43:00Z,9A7KXP-3,9A1AYZ-10,35(14/5),1,!,9A7KXP-3,/6,45.853333,16.279333,,,,,,,SQ3PLX http://microsat.com.pl/,,,  Solarna telemetrija klijeti- Igate i APRS Digi W1 CRLNet.073
0,1602521376,2020-10-12T16:49:36Z,S55YZA-11,9A7KXP-4?,27(12/5),1,T,S55YZA-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=61, A1=176 Volt, A2=102 Pkt, A3=26 Pkt, A4=63 Pcnt, A5=148 C, D1= On0, D2= On0, D3= On0, D4= On0, D5= Hi0, D6= Hi0, D7= Hi0, D8= Hi0",
0,1602521503,2020-10-12T16:51:43Z,9A1AYZ-12,9A1AYZ-10,31(14/5),0,!,9A1AYZ-12,/5,44.828000,14.992833,,,,,,,Open Track,,, 12.4V -3C Solarni APRS Digi-Velebitska Pljesivica asl 1656m CRLNet111
0,1602521503,2020-10-12T16:51:43Z,9A1AYZ-12,9A1AYZ-10,36(15/5),1,T,9A1AYZ-12,/j,,,,,,,,,Open Track,,"Seq=33, A1=499, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602521572,2020-10-12T16:52:52Z,S59GCD-12,9A1AYZ-10,30(15/5),0,D,S59GCD-12,/j,,,,,,,,,,,,
0,1602521635,2020-10-12T16:53:55Z,9A1AYZ-10,9A1AYZ-10,33(16/5),0,!,9A1AYZ-10,/#,45.854333,16.050000,,,,,,,>40 APRSmax,,,9A1AYZ Grad Mladih JN85AU
0,1602521729,2020-10-12T16:55:29Z,E79VTR-11,9A1AYZ-10,33(16/5),1,!,E79VTR-11,/#,44.292833,17.636500,,,,145.675,,,Open Track,,," 13.1V 21C APRS DIGI i 145.675MHz (-0.6MHz) R3,Radio Klub Elzas"
0,1602521729,2020-10-12T16:55:29Z,E79VTR-11,9A1AYZ-10,32(16/5),0,T,E79VTR-11,/O,,,,,,,,,Open Track,,"Seq=91, A1=527, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602521803,2020-10-12T16:56:43Z,9A7KXP-4,9A1AYZ-10,34(15/5),0,T,9A7KXP-4,/b,,,,,,,,,Open Track,,"Seq=14, A1=0, A2=124, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
